ав 0,006 0,004459157522694667
аг 0,001 0,0010116512457867825
ад 0,002 0,002744977249522371
ае 0,002 0,002210169159481752
аж 0,001 0,001570212572600514
аз 0,002 0,004362368565101885
ак 0,001 0,005890477398948232
ал 0,012 0,009934597895221761
ам 0,006 0,004506391690696065
ан 0,009 0,007639729662380837
ап 0,001 0,0012921476450110405
ар 0,004 0,004092212547230313
ас 0,004 0,005333574003239289
ат 0,005 0,0069022997393693745
аф 0,001 0,0002573576572646936
ах 0,002 0,0014269172016482612
ац 0,001 0,0009551900164478333
ащ 0,001 0,0004034797043592677
аю 0,003 0,0014895956726301677
бе 0,003 0,002388695566410763
би 0,002 0,001200686718919257
бл 0,002 0,0012448893791738175
бо 0,006 0,0036571309409695945
бр 0,004 0,0015694101146675275
бу 0,001 0,001385295419610603
бы 0,004 0,003543360238470641
ва 0,009 0,008398129522127578
вв 0,001 9,305138325626074E-05
ве 0,006 0,006615745144218607
вз 0,001 0,00044105786954542114
ви 0,003 0,00406602301925525
вл 0,005 0,0016656930177079766
во 0,004 0,008865598619737654
вр 0,001 0,0011110620479173705
вс 0,002 0,003194042829912578
ву 0,002 0,0010047062495018978
вы 0,006 0,0035934186728307773
вь 0,001 0,0002251966855720936
га 0,002 0,0018492052668692659
гд 0,001 0,0012706041797831188
ги 0,001 0,0014702402908951938
гл 0,003 0,0014478220742268095
го 0,01 0,009851176007161337
гр 0,002 0,0015859532789616756
гу 0,002 0,0007762177995560523
да 0,008 0,0061577127591177635
дд 0,001 9,727814366003868E-05
де 0,011 0,006746786765653636
ди 0,002 0,003586302581911532
дл 0,001 0,0011090233710065404
дн 0,002 0,0025049362970818215
до 0,008 0,005198652630236368
др 0,003 0,0015105800680669398
дс 0,003 0,0008064846813527747
дт 0,001 0,0001628604038589079
ду 0,005 0,0022095064689965534
ды 0,002 0,0009097222198124386
еб 0,004 0,0013909367229773327
ев 0,002 0,0025738777955947537
ег 0,003 0,0033947055088308156
ед 0,005 0,004664895205837737
ез 0,001 0,0018127548803997418
ей 0,001 0,003185133860007922
ек 0,002 0,0023930307670757553
ел 0,004 0,007486016797001257
ем 0,006 0,005635006602228668
ен 0,01 0,012506552683517648
ео 0,001 0,0005312247418533796
еп 0,002 0,0011749598693920433
ер 0,009 0,008767739718234224
ёр 0,001 2,9102956326354715E-05
ес 0,012 0,006935947547532403
ет 0,004 0,007971489387756502
еч 0,001 0,001485552055778663
еш 0,001 0,0010467834806366563
ея 0,002 0,00028986081822601447
жа 0,002 0,0012790962571279953
жд 0,003 0,0012249508298118683
же 0,004 0,004388970166069561
жи 0,003 0,0019482449623281423
жн 0,001 0,001433741708754019
жч 0,001 5,6400984749385783E-05
за 0,006 0,006436262053207327
зг 0,001 0,00032046747950787514
зе 0,001 0,0006019036943293243
зи 0,002 0,0009222217672550818
зл 0,001 0,00034591238435593177
зм 0,002 0,0006896776515398189
зн 0,002 0,0022237314214842963
зо 0,001 0,0011203975495161366
зр 0,002 0,0005046279604528682
зу 0,001 0,0006338694735517384
зь 0,001 0,00013949755202616725
иа 0,001 0,0006738188657831128
ив 0,004 0,003230987222016523
иг 0,001 0,0008661557424236694
ид 0,001 0,001881865063763452
ие 0,001 0,0038807010226234724
из 0,001 0,0036023396916533466
ии 0,004 0,0021965370137553147
ий 0,002 0,0023432759654470193
ик 0,003 0,0034651097459783508
ил 0,009 0,005627418193727245
им 0,004 0,004216316401731204
ин 0,006 0,0057466012701525866
ио 0,001 0,0009099656079542753
ип 0,002 0,00042576538293061223
ир 0,003 0,0020991938059385473
ис 0,002 0,004488501457379276
ит 0,008 0,0062962054313900105
их 0,004 0,0027519897197475674
иц 0,001 0,0011908644410368178
ич 0,004 0,0025563369808974334
иш 0,003 0,0006937911521152175
ию 0,001 0,0007757623504589519
ия 0,002 0,0034875207332959873
ка 0,007 0,00904456601706227
кв 0,001 0,0004451255842327513
ке 0,001 0,0009824278002813008
кз 0,002 4,747273657606922E-05
ки 0,009 0,0049670579692526265
кл 0,003 0,0010755828042316108
кн 0,001 0,00045462977068229534
ко 0,012 0,012332725354574593
кр 0,003 0,0022726066521054048
кт 0,002 0,001748037732507005
ку 0,004 0,002490682427191088
ла 0,005 0,007133504015412745
лг 0,001 0,0002016410510527496
ле 0,008 0,007048672403956533
лё 0,001 3,437797258853824E-05
ли 0,009 0,009317433041464202
лл 0,001 0,00044899810644989565
ло 0,011 0,007019518842174945
лс 0,003 0,001237773288254572
лу 0,002 0,0017574985428520633
ль 0,007 0,006794746278513379
лю 0,002 0,0014431181766736882
ля 0,003 0,002587507531537609
ма 0,003 0,004254610272641372
ме 0,001 0,005653817372873988
ми 0,004 0,004614065640731187
мм 0,002 0,0002879040739569907
мн 0,004 0,0016999505011173878
мо 0,009 0,005114433103810123
мп 0,001 0,0004570636521006623
мы 0,002 0,0017451267139392949
на 0,011 0,014286695962694853
нг 0,001 0,00029342970771175855
не 0,015 0,011580036681918477
ни 0,016 0,012429589015458434
нк 0,001 0,0009024085266394249
нн 0,007 0,004571954672626274
но 0,011 0,015509692458021281
нт 0,003 0,0019442543607154535
ну 0,007 0,002787948510366253
нф 0,001 0,00019269111482719017
ны 0,005 0,006540290000682065
ня 0,001 0,0018527934346236703
об 0,004 0,005353112528526536
ов 0,008 0,01181260971503673
ог 0,01 0,0066830817268655664
од 0,006 0,007448424173113609
ое 0,006 0,002796657468233558
ож 0,002 0,0026073858363099946
оз 0,005 0,0020253194804321526
ои 0,001 0,0012428458826958223
ой 0,004 0,0058603406454649665
ок 0,001 0,002926101403153362
ол 0,012 0,008133364190130152
ом 0,003 0,007733140103390897
он 0,005 0,007091070136307769
оп 0,003 0,002223102467969253
ор 0,007 0,00822947599853624
ос 0,008 0,009557314948188303
от 0,006 0,008459791064437651
ох 0,001 0,0007020567098033351
оч 0,003 0,002366896664123092
оя 0,002 0,0009273136399649922
па 0,003 0,00231679485365847
пе 0,002 0,0033767285233050554
пи 0,004 0,0015787335673483809
пл 0,002 0,0012921645134961182
пн 0,001 0,00019795167238787845
по 0,015 0,012561553584005576
пп 0,001 0,00018593649144532613
пр 0,012 0,010071112135172743
пу 0,005 0,0010408023977847881
пь 0,001 0,0001151274106559242
ра 0,008 0,012164638130125152
ре 0,01 0,009614395491907965
рж 0,001 0,000464461687699065
ри 0,007 0,006796382521565924
рм 0,002 0,0008053617222033103
рн 0,001 0,0013753261449296283
ро 0,013 0,01136058251062358
рс 0,001 0,000757684154022725
рт 0,002 0,0011667159997561685
ру 0,003 0,0038161429204471835
рф 0,002 8,572805094891687E-05
ры 0,001 0,001996809330867103
рь 0,002 0,0006352069034400489
ря 0,004 0,001263810999863934
са 0,003 0,0024186202589387643
си 0,002 0,0027717451255572434
ск 0,014 0,006233695645258882
сл 0,002 0,003622258962746635
см 0,002 0,0010198204121315987
со 0,003 0,0046149331628209025
сп 0,009 0,00260263133330164
сс 0,002 0,0019085028114848666
ст 0,021 0,01728708135456364
су 0,001 0,00145263923160831
сш 0,001 0,00016563888432957836
сы 0,001 0,0005156816377459864
сь 0,003 0,002959286532868542
ся 0,004 0,004823591503666014
та 0,005 0,008762033350710765
тв 0,01 0,00413973106969445
те 0,007 0,007924578130755165
ти 0,005 0,0064777175601777905
тл 0,001 0,00031664315296238166
тм 0,001 0,0001402253066680948
то 0,014 0,01618938396639505
тр 0,005 0,00486105881880737
тс 0,002 0,0025115318747472378
ту 0,002 0,002122838602450445
тц 0,001 7,215374002846013E-05
тъ 0,001 1,3747815338399739E-05
ты 0,004 0,002063969999312537
ть 0,008 0,007317124704835248
уа 0,001 0,0002305030290208502
уб 0,003 0,0009064208163043567
уг 0,001 0,0012463882645621584
уд 0,001 0,002431437897814303
уж 0,001 0,001688904053175017
уз 0,003 0,0004733345108499831
ук 0,001 0,0011058328175432553
ул 0,002 0,0015990841897029447
ур 0,003 0,001371337953100522
ус 0,001 0,0019190311559569909
ут 0,001 0,0019896836008135273
уч 0,001 0,001531995814764987
уш 0,001 0,0007585540858960225
ую 0,001 0,0016690932223429426
фи 0,001 0,0007420157411690396
фо 0,001 0,000688200454203721
фф 0,001 8,062894888825888E-05
хо 0,001 0,0027458544107464163
ца 0,002 0,0007237592207477045
ци 0,002 0,0022999793838194946
цы 0,001 0,000275927449551759
ча 0,003 0,0027104498703517154
че 0,002 0,005466777200547858
чи 0,003 0,002523889244958511
чн 0,001 0,0014550538347580166
чт 0,007 0,0032064194783925117
чь 0,001 0,0002570853517198664
ше 0,003 0,0025163924082332242
ши 0,001 0,0019017746957224104
шл 0,001 0,0005951442513802951
шь 0,001 0,0005771262995336317
ща 0,001 0,000539418006034021
ще 0,001 0,0021305475001309956
щи 0,002 0,0013035386920057146
ыв 0,001 0,0013320367926528513
ые 0,002 0,0021177901058450207
ый 0,002 0,0021052158551113187
ым 0,003 0,0018633892530361055
ыс 0,001 0,0008831977319194034
ых 0,003 0,0024186684546104154
ьк 0,001 0,001252256087585647
ьм 0,001 0,0003159491352906097
ьн 0,003 0,002856728553379155
ьс 0,002 0,001339591464184119
ьч 0,001 8,31688607842577E-05
ьш 0,001 0,0006848773626433961
ью 0,001 0,0005743863756002819
эк 0,001 0,0003431820995569121
эт 0,002 0,002748411191127493
юд 0,001 0,000497147992212659
ют 0,001 0,0011322801923616492
юч 0,001 0,00024824626553910387
яв 0,002 0,0005785842186010694
яг 0,001 0,00012734742320299257
ял 0,001 0,0008028989233819527
ям 0,002 0,0006409156807470899
ят 0,002 0,0019909439176271967
яю 0,001 0,00028144585395577926
яя 0,001 0,00011161635597616112
